,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.5,0,1.1,1.23,1.34,1.45,1.55,1.64,1.72,1.78,1.85,1.88,1.95,1.97,2
1,1.03,1.13,1.26,1.37,1.48,1.58,1.67,1.75,1.81,1.88,1.91,1.98,2,2.03
1.5,1.06,1.16,1.29,1.4,1.51,1.61,1.7,1.78,1.84,1.91,1.94,2.01,2.03,2.06
2,1.09,1.19,1.32,1.43,1.54,1.64,1.73,1.81,1.87,1.94,1.97,2.04,2.06,2.09
2.5,1.12,1.22,1.35,1.46,1.57,1.67,1.76,1.84,1.9,1.97,2,2.07,2.09,2.12
3,1.15,1.25,1.38,1.49,1.6,1.7,1.79,1.87,1.93,2,2.03,2.1,2.12,2.15
3.5,1.18,1.28,1.41,1.52,1.63,1.73,1.82,1.9,1.96,2.03,2.06,2.13,2.15,2.18
4,1.21,1.31,1.44,1.55,1.66,1.76,1.85,1.93,2,2.06,2.09,2.16,2.18,2.21
4.5,1.24,1.34,1.47,1.58,1.69,1.79,1.88,1.96,2.04,2.09,2.12,2.19,2.21,2.24
5,1.27,1.37,1.5,1.61,1.72,1.82,1.91,1.99,2.07,2.12,2.15,2.22,2.24,2.28
5.5,1.3,1.4,1.53,1.64,1.75,1.85,1.94,2.02,2.1,2.15,2.18,2.25,2.28,2.31
6,1.33,1.43,1.56,1.67,1.78,1.88,1.97,2.05,2.13,2.18,2.21,2.28,2.31,2.34
6.5,1.36,1.45,1.59,1.7,1.81,1.91,2,2.08,2.16,2.21,2.24,2.31,2.34,2.37
7,1.39,1.48,1.62,1.73,1.84,1.94,2.03,2.11,2.19,2.24,2.28,2.34,2.37,2.41
7.5,1.42,1.52,1.65,1.76,1.87,1.97,2.06,2.14,2.22,2.27,2.31,2.37,2.41,2.44
8,1.45,1.55,1.68,1.79,1.9,2,2.09,2.17,2.25,2.3,2.34,2.4,2.45,2.48
8.5,1.48,1.58,1.72,1.82,1.93,2.03,2.12,2.2,2.28,2.33,2.37,2.43,2.48,2.51
9,1.51,1.62,1.76,1.86,1.97,2.07,2.16,2.24,2.31,2.37,2.41,2.46,2.51,2.54
9.5,1.54,1.66,1.8,1.9,2.01,2.11,2.2,2.28,2.34,2.41,2.45,2.5,2.54,2.57
10,1.57,1.7,1.84,1.94,2.05,2.15,2.24,2.32,2.38,2.45,2.49,2.54,2.57,2.6
10.5,1.6,1.74,1.87,1.98,2.09,2.19,2.28,2.36,2.42,2.49,2.53,2.58,2.61,2.64
